"","ORIGIN_AIRPORT_ID","ORIGIN","name"
"1",10135,"ABE","Lehigh Valley International"
"2",10136,"ABI","Abilene Regional"
"3",10140,"ABQ","Albuquerque International Sunport"
"4",10141,"ABR","Aberdeen Regional"
"5",10146,"ABY","Southwest Georgia Regional"
"6",10155,"ACT","Waco Regional"
"7",10157,"ACV","California Redwood Coast Humboldt County"
"8",10158,"ACY","Atlantic City International"
"9",10165,"ADK","Adak"
"10",10170,"ADQ","Kodiak Airport"
"11",10185,"AEX","Alexandria International"
"12",10208,"AGS","Augusta Regional at Bush Field"
"13",10257,"ALB","Albany International"
"14",10268,"ALO","Waterloo Regional"
"15",10279,"AMA","Rick Husband Amarillo International"
"16",10299,"ANC","Ted Stevens Anchorage International"
"17",10333,"APN","Alpena County Regional"
"18",10361,"ART","Watertown International"
"19",10372,"ASE","Aspen Pitkin County Sardy Field"
"20",10397,"ATL","Hartsfield-Jackson Atlanta International"
"21",10408,"ATW","Appleton International"
"22",10423,"AUS","Austin - Bergstrom International"
"23",10431,"AVL","Asheville Regional"
"24",10434,"AVP","Wilkes Barre Scranton International"
"25",10466,"AZA","Phoenix - Mesa Gateway"
"26",10469,"AZO","Kalamazoo/Battle Creek International"
"27",10529,"BDL","Bradley International"
"28",10551,"BET","Bethel Airport"
"29",10558,"BFF","Western Neb. Regional/William B. Heilig Field"
"30",10561,"BFL","Meadows Field"
"31",10577,"BGM","Greater Binghamton/Edwin A. Link Field"
"32",10581,"BGR","Bangor International"
"33",10599,"BHM","Birmingham-Shuttlesworth International"
"34",10620,"BIL","Billings Logan International"
"35",10627,"BIS","Bismarck Municipal"
"36",10631,"BJI","Bemidji Regional"
"37",10666,"BLI","Bellingham International"
"38",10676,"BLV","Scott AFB/MidAmerica"
"39",10685,"BMI","Central Il Regional Airport at Bloomington"
"40",10693,"BNA","Nashville International"
"41",10713,"BOI","Boise Air Terminal"
"42",10721,"BOS","Logan International"
"43",10728,"BPT","Jack Brooks Regional"
"44",10731,"BQK","Brunswick Golden Isles"
"45",10732,"BQN","Rafael Hernandez"
"46",10739,"BRD","Brainerd Lakes Regional"
"47",10747,"BRO","Brownsville South Padre Island International"
"48",10754,"BRW","Wiley Post/Will Rogers Memorial"
"49",10779,"BTM","Bert Mooney"
"50",10781,"BTR","Baton Rouge Metropolitan/Ryan Field"
"51",10785,"BTV","Burlington International"
"52",10792,"BUF","Buffalo Niagara International"
"53",10800,"BUR","Bob Hope"
"54",10821,"BWI","Baltimore/Washington International Thurgood Marshall"
"55",10849,"BZN","Bozeman Yellowstone International"
"56",10868,"CAE","Columbia Metropolitan"
"57",10874,"CAK","Akron-Canton Regional"
"58",10918,"CDC","Cedar City Regional"
"59",10926,"CDV","Merle K Mudhole Smith"
"60",10967,"CGI","Cape Girardeau Regional"
"61",10980,"CHA","Lovell Field"
"62",10990,"CHO","Charlottesville Albemarle"
"63",10994,"CHS","Charleston AFB/International"
"64",11003,"CID","The Eastern Iowa"
"65",11013,"CIU","Chippewa County International"
"66",11027,"CKB","North Central West Virginia"
"67",11042,"CLE","Cleveland-Hopkins International"
"68",11049,"CLL","Easterwood Field"
"69",11057,"CLT","Charlotte Douglas International"
"70",11066,"CMH","John Glenn Columbus International"
"71",11067,"CMI","University of Illinois/Willard"
"72",11076,"CMX","Houghton County Memorial"
"73",11092,"CNY","Canyonlands Field"
"74",11097,"COD","Yellowstone Regional"
"75",11109,"COS","City of Colorado Springs Municipal"
"76",11111,"COU","Columbia Regional"
"77",11122,"CPR","Casper/Natrona County International"
"78",11140,"CRP","Corpus Christi International"
"79",11146,"CRW","Yeager"
"80",11150,"CSG","Columbus Airport"
"81",11193,"CVG","Cincinnati/Northern Kentucky International"
"82",11203,"CWA","Central Wisconsin"
"83",11233,"CYS","Cheyenne Regional/Jerry Olson Field"
"84",11252,"DAB","Daytona Beach International"
"85",11259,"DAL","Dallas Love Field"
"86",11267,"DAY","James M Cox/Dayton International"
"87",11274,"DBQ","Dubuque Regional"
"88",11278,"DCA","Ronald Reagan Washington National"
"89",11292,"DEN","Denver International"
"90",11298,"DFW","Dallas/Fort Worth International"
"91",11308,"DHN","Dothan Regional"
"92",11337,"DLH","Duluth International"
"93",11413,"DRO","Durango La Plata County"
"94",11415,"DRT","Del Rio International"
"95",11423,"DSM","Des Moines International"
"96",11433,"DTW","Detroit Metro Wayne County"
"97",11447,"DVL","Devils Lake Regional"
"98",11468,"EAR","Kearney Regional"
"99",11471,"EAU","Chippewa Valley Regional"
"100",11481,"ECP","Northwest Florida Beaches International"
"101",11503,"EGE","Eagle County Regional"
"102",11525,"EKO","Elko Regional"
"103",11537,"ELM","Elmira/Corning Regional"
"104",11540,"ELP","El Paso International"
"105",11577,"ERI","Erie International/Tom Ridge Field"
"106",11587,"ESC","Delta County"
"107",11603,"EUG","Mahlon Sweet Field"
"108",11612,"EVV","Evansville Regional"
"109",11617,"EWN","Coastal Carolina Regional"
"110",11618,"EWR","Newark Liberty International"
"111",11624,"EYW","Key West International"
"112",11630,"FAI","Fairbanks International"
"113",11637,"FAR","Hector International"
"114",11638,"FAT","Fresno Yosemite International"
"115",11641,"FAY","Fayetteville Regional/Grannis Field"
"116",11648,"FCA","Glacier Park International"
"117",11695,"FLG","Flagstaff Pulliam"
"118",11697,"FLL","Fort Lauderdale-Hollywood International"
"119",11721,"FNT","Bishop International"
"120",11775,"FSD","Joe Foss Field"
"121",11778,"FSM","Fort Smith Regional"
"122",11823,"FWA","Fort Wayne International"
"123",11865,"GCC","Gillette Campbell County"
"124",11867,"GCK","Garden City Regional"
"125",11884,"GEG","Spokane International"
"126",11898,"GFK","Grand Forks International"
"127",11905,"GGG","East Texas Regional"
"128",11921,"GJT","Grand Junction Regional"
"129",11953,"GNV","Gainesville Regional"
"130",11973,"GPT","Gulfport-Biloxi International"
"131",11977,"GRB","Green Bay Austin Straubel International"
"132",11980,"GRI","Central Nebraska Regional"
"133",11982,"GRK","Robert Gray AAF"
"134",11986,"GRR","Gerald R. Ford International"
"135",11995,"GSO","Piedmont Triad International"
"136",11996,"GSP","Greenville-Spartanburg International"
"137",12003,"GTF","Great Falls International"
"138",12007,"GTR","Golden Triangle Regional"
"139",12012,"GUC","Gunnison-Crested Butte Regional"
"140",12016,"GUM","Guam International"
"141",12094,"HDN","Yampa Valley"
"142",12119,"HGR","Hagerstown Regional-Richard A. Henson Field"
"143",12124,"HHH","Hilton Head Airport"
"144",12129,"HIB","Range Regional"
"145",12156,"HLN","Helena Regional"
"146",12173,"HNL","Daniel K Inouye International"
"147",12177,"HOB","Lea County Regional"
"148",12191,"HOU","William P Hobby"
"149",12197,"HPN","Westchester County"
"150",12206,"HRL","Valley International"
"151",12217,"HSV","Huntsville International-Carl T Jones Field"
"152",12223,"HTS","Tri-State/Milton J. Ferguson Field"
